ファイルパス,タイトル,タイトルの日本語訳
_posts/2025-12-27-how-we-lost-communication-to-entertainment.md,How we lost communication to entertainment,いかにして私たちはコミュニケーションを娯楽に奪われたか
_posts/2025-12-27-intertapes-collection-of-found-cassette-tapes-from.md,Intertapes – collection of found cassette tapes from different locations,Intertapes – 様々な場所で見つかったカセットテープのコレクション
_posts/2025-12-27-janet-jackson-had-the-power-to-crash-laptop-comput.md,Janet Jackson had the power to crash laptop computers (2022),ジャネット・ジャクソンにはノートパソコンをクラッシュさせる力があった (2022)
_posts/2025-12-27-langjam-gamejam-devlog-making-a-language-compiler.md,"Langjam-Gamejam Devlog: Making a language, compiler, VM and 5 games in 52",Langjam-Gamejam 開発ログ：52時間で言語、コンパイラ、VM、そして5つのゲームを作る
_posts/2025-12-27-more-dynamic-cronjobs.md,More Dynamic Cronjobs,よりダイナミックなCronジョブ
_posts/2025-12-27-more-than-20-of-videos-shown-to-new-youtube-users.md,"More than 20% of videos shown to new YouTube users are ‘AI slop’, study finds",新規YouTubeユーザーに表示される動画の20%以上が「AIスロップ」であるとの調査結果
_posts/2025-12-27-nmh-basic.md,NMH BASIC,NMH BASIC
_posts/2025-12-27-nvidia-just-paid-20b-for-a-company-that-missed-its.md,Nvidia Just Paid $20B for a Company That Missed Its Revenue Target by 75%,Nvidia、収益目標を75%下回った企業に200億ドルを支払う
_posts/2025-12-27-nvidias-20b-antitrust-loophole-not-an-acquisition.md,Nvidia's $20B Antitrust Loophole (Not an Acquisition),Nvidiaの200億ドルの独占禁止法回避策（買収ではない）
_posts/2025-12-27-one-million-small-web-screenshots.md,One million (small web) screenshots,100万枚の（スモールウェブ）スクリーンショット
_posts/2025-12-27-oracle-shares-on-pace-for-worst-quarter-since-2001.md,Oracle shares on pace for worst quarter since 2001 as new CEOs face concerns,Oracle株、新CEOへの懸念から2001年以来最悪の四半期となる勢い
_posts/2025-12-27-pre-commit-hooks-are-fundamentally-broken.md,pre-commit hooks are fundamentally broken,pre-commitフックは根本的に壊れている
_posts/2025-12-27-product-engineering-teams-must-own-supply-chain-ri.md,Product engineering teams must own supply chain risk,製品エンジニアリングチームはサプライチェーンのリスクに責任を持つべきだ
_posts/2025-12-27-prompt-injection-isnt-a-prompting-problem-its-an-a.md,"Prompt Injection Isn’t a Prompting Problem, It’s an Authority Problem",プロンプトインジェクションはプロンプトの問題ではなく、権限の問題である
_posts/2025-12-27-publishing-your-work-increases-your-luck.md,Publishing your work increases your luck,作品を公開することはあなたの運を向上させる
_posts/2025-12-27-qnx-self-hosted-developer-desktop-brings-qnx-80-to.md,QNX Self-Hosted Developer Desktop Brings QNX 8.0 To A Wayland + Xfce Desktop,QNXセルフホスト型開発者デスクトップがQNX 8.0をWayland + Xfceデスクトップにもたらす
_posts/2025-12-27-qnx-self-hosted-developer-desktop.md,QNX Self-Hosted Developer Desktop,QNXセルフホスト型開発者デスクトップ
_posts/2025-12-27-sdsl-a-newold-shader-programming-language.md,SDSL : a new/old shader programming language,SDSL：新しくて古いシェーダープログラミング言語
_posts/2025-12-27-show-hn-ez-ffmpeg-video-editing-in-plain-english.md,Show HN: Ez FFmpeg – Video editing in plain English,Show HN: Ez FFmpeg – 平易な英語でのビデオ編集
_posts/2025-12-27-simd-city-auto-vectorisation.md,SIMD City: Auto-Vectorisation,SIMD City：自動ベクトル化
_posts/2025-12-27-some-junk-theorems-in-lean.md,Some Junk Theorems in Lean,Leanにおけるいくつかのジャンク定理
_posts/2025-12-27-t-ruby-is-ruby-with-syntax-for-types.md,T-Ruby is Ruby with syntax for types,T-Rubyは型構文を持つRubyである
_posts/2025-12-27-the-battle-to-stop-clever-people-betting.md,The battle to stop clever people betting,賢い人々の賭けを止めるための戦い
_posts/2025-12-27-the-production-bug-that-made-me-care-about-undefin.md,The production bug that made me care about undefined behavior,未定義動作を気にするきっかけとなった本番環境のバグ
_posts/2025-12-27-understanding-database-transactions-and-isolation.md,Understanding Database transactions and Isolation Levels,データベーストランザクションと分離レベルを理解する
_posts/2025-12-27-us-man-uses-phones-parental-controls-to-track-resc.md,"US man uses phone’s parental controls to track, rescue daughter kidnapped at knifepoint",米国の男性、電話のペアレンタルコントロールを使用して刃物で誘拐された娘を追跡・救出
_posts/2025-12-27-why-ios-app-monetization-iap-is-hard-to-learn-as-a.md,Why iOS app monetization (IAP) is hard to learn as a system,なぜiOSアプリの収益化（IAP）をシステムとして学ぶのが難しいのか
_posts/2025-12-27-why-is-calling-my-asm-function-from-rust-slower-th.md,Why is calling my asm function from Rust slower than calling it from C?,なぜRustからasm関数を呼び出す方がCから呼び出すよりも遅いのか？
_posts/2025-12-27-windows-2-for-the-apricot-pcxi.md,Windows 2 for the Apricot PC/Xi,Apricot PC/Xi用のWindows 2
_posts/2025-12-27-you-cant-design-software-you-dont-work-on.md,You can't design software you don't work on,自分が関わっていないソフトウェアを設計することはできない
_posts/2025-12-28-2025-was-the-year-xbox-died.md,2025 was the year Xbox died,2025年はXboxが死んだ年だった
_posts/2025-12-28-39c3-to-sign-or-not-to-sign-practical-vulnerabilit.md,39C3: To sign or not to sign: Practical vulnerabilities in GPG & friends,39C3：署名すべきか否か：GPGとその仲間たちにおける実用的な脆弱性
_posts/2025-12-28-62-years-in-the-making-nycs-newest-water-tunnel-ne.md,62 years in the making: NYC''s newest water tunnel nears the finish line,62年の歳月をかけて：ニューヨーク市最新の送水トンネルが完成間近
_posts/2025-12-28-a-discord-server-that-combines-an-it-community-wit.md,A Discord server that combines an IT community with a dating/social element.,ITコミュニティとデート・交流要素を組み合わせたDiscordサーバー
_posts/2025-12-28-a-modern-recommender-model-architecture.md,A Modern Recommender Model Architecture,モダンなレコメンダーモデルのアーキテクチャ
_posts/2025-12-28-a-new-research-shows-that-21-33-of-youtubes-feed-m.md,A new research shows that 21-33% of YouTube's feed may consist of AI slop,新しい研究によると、YouTubeフィードの21〜33%がAIスロップで構成されている可能性がある
_posts/2025-12-28-a-practical-guide-to-taming-postgres-isolation-ano.md,A Practical Guide to Taming Postgres Isolation Anomalies,Postgresの分離アノマリーを制御するための実用ガイド
_posts/2025-12-28-a-prime-view-of-hn.md,"A ""Prime"" View of HN",HNの「プライム」な視点
_posts/2025-12-28-building-a-git-native-tool-to-reduce-manual-task-u.md,Building a Git-native tool to reduce manual task updates — looking for developer,手動のタスク更新を減らすためのGitネイティブツールの構築 — 開発者募集中
_posts/2025-12-28-building-a-macos-app-to-know-when-my-mac-is-therma.md,Building a macOS app to know when my Mac is thermal throttling,Macがサーマルスロットリングを起こしているか知るためのmacOSアプリの構築
_posts/2025-12-28-building-production-grade-ai-agents.md,Building production grade AI agents,プロダクションレベルのAIエージェントの構築
_posts/2025-12-28-built-a-pdf-editor-amp-scanner-app-after-6-months.md,Built a PDF editor &amp; scanner app after 6 months of practice — looking for,6ヶ月の練習の末にPDFエディタ＆スキャナーアプリを構築 — 募集中
_posts/2025-12-28-c-gt-java-java-gt-llm.md,C -&gt; Java != Java -&gt; LLM,CからJavaへの変換は、JavaからLLMへの変換とは異なる
_posts/2025-12-28-c-says-we-have-try-at-home.md,"C++ says ""We have try at home.",C++は「家にはtryがある」と言う
_posts/2025-12-28-calendar.md,Calendar,カレンダー
_posts/2025-12-28-can-i-throw-a-c-exception-from-a-structured-except.md,Can I throw a C++ exception from a structured exception?,構造化例外からC++例外をスローできるか？
_posts/2025-12-28-ceos-are-hugely-expensive-why-not-automate-them.md,CEOs are hugely expensive. Why not automate them?,CEOは非常に高コストだ。なぜ自動化しないのか？
_posts/2025-12-28-china-is-banning-tesla-style-retractable-door-hand.md,China Is Banning Tesla-Style Retractable Door Handles Over Safety Concerns,中国、安全上の懸念からテスラ式の格納式ドアハンドルを禁止
_posts/2025-12-28-cve-2025-14847-mongobleed.md,CVE-2025-14847: MongoBleed,CVE-2025-14847: MongoBleed
_posts/2025-12-28-data-centers-are-west-virginias-new-strip-mines.md,Data centers are West Virginia’s new strip mines,データセンターはウェストバージニア州の新しい露天掘り鉱山だ
_posts/2025-12-28-designing-predictable-llm-verifier-systems-for-for.md,Designing Predictable LLM-Verifier Systems for Formal Method Guarantee,形式手法の保証のための予測可能なLLM検証システムの設計
_posts/2025-12-28-devops-from-scratch-a-students-diary-entry-00.md,DevOps From Scratch: A Student’s Diary (Entry #00),ゼロからのDevOps：ある学生の日記（第00回）
_posts/2025-12-28-dolphin-progress-release-2512.md,Dolphin Progress Release 2512,Dolphin進捗リリース 2512
_posts/2025-12-28-every-test-is-a-trade-off.md,Every Test Is a Trade-Off,すべてのテストはトレードオフである
_posts/2025-12-28-ex-palantir-turned-politician-alex-bores-says-ai-d.md,"Ex-Palantir turned politician Alex Bores says AI deepfakes are a ""solvable",元Palantirで政治家に転身したアレックス・ボレス氏、AIディープフェイクは「解決可能」と語る
_posts/2025-12-28-global-memory-shortage-crisis-market-analysis.md,Global Memory Shortage Crisis: Market Analysis,世界的なメモリ不足危機：市場分析
_posts/2025-12-28-go-gray-not-cray-why-you-should-grayscale-your-pho.md,"Go Gray, Not Cray: Why You Should Grayscale Your Phone",「グレイ」になろう、「クレイジー」ではなく：なぜスマホをグレースケールにすべきか
_posts/2025-12-28-goodbye-sass.md,Goodbye Sass,さよならSass
_posts/2025-12-28-googles-fine-print-may-cost-your-fourth-amendment.md,Google’s fine print may cost your Fourth Amendment rights — Pennsylvania Supreme,Googleの細かい規定があなたの修正第4条の権利を奪う可能性 — ペンシルベニア州最高裁
_posts/2025-12-28-growing-up-in-404-not-found-chinas-nuclear-city-in.md,"Growing up in ""404 Not Found"": China''s nuclear city in the Gobi Desert",「404 Not Found」で育つ：ゴビ砂漠にある中国の核都市
_posts/2025-12-28-how-rate-limiter-protect-your-system-from-abuse.md,How Rate Limiter protect your system from abuse!,レートリミッターがいかにしてシステムを悪用から守るか！
_posts/2025-12-28-hungry-fat-cells-could-someday-starve-cancer-to-de.md,Hungry Fat Cells Could Someday Starve Cancer to Death,飢えた脂肪細胞がいつか癌を餓死させるかもしれない
_posts/2025-12-28-i-built-a-free-tool-to-compare-inference-costs-acr.md,"I  built a free tool to compare inference costs across providers (Fireworks,",プロバイダー間の推論コストを比較する無料ツールを構築しました（Fireworksなど）
_posts/2025-12-28-i-built-a-production-rag-system-for-5month-most-al.md,I Built a Production RAG System for $5/month (Most Alternatives Cost $100-200+),月額5ドルでプロダクションRAGシステムを構築（他は100〜200ドル以上かかる）
_posts/2025-12-28-i-built-an-offline-semantic-search-engine-in-js-no.md,"I built an offline semantic search engine in JS (no DB, no APIs), Feedback",JSでオフラインセマンティック検索エンジンを構築（DBなし、APIなし）、フィードバック募集中
_posts/2025-12-28-i-stayed-in-a-40-capsule-hotel-london.md,I stayed in a $40 capsule hotel (London),40ドルのカプセルホテルに泊まってみた（ロンドン）
_posts/2025-12-28-i-was-wrong-about-typescript-part-1.md,I was wrong about typescript part 1,TypeScriptについて私は間違っていた 第1部
_posts/2025-12-28-kafka-uses-os-page-buffer-cache-for-optimisations.md,Kafka uses OS page buffer cache for optimisations instead of process caching,Kafkaはプロセスキャッシュの代わりにOSのページバッファキャッシュを最適化に使用する
_posts/2025-12-28-las-vegas-police-touted-new-bulletproof-cybertruck.md,Las Vegas Police Touted New “Bulletproof” Cybertrucks. The Only Problem? They,ラスベガス警察が新しい「防弾」サイバートラックを宣伝。唯一の問題は？
_posts/2025-12-28-last-year-on-my-mac-look-back-in-disbelief.md,Last Year on My Mac: Look Back in Disbelief,私のMacでの昨年：信じられない思いで振り返る
_posts/2025-12-28-learn-computer-graphics-from-scratch-and-for-free.md,Learn computer graphics from scratch and for free,コンピュータグラフィックスをゼロから無料で学ぶ
_posts/2025-12-28-manus-ai-100m-usd-arr.md,Manus AI 100M USD ARR,Manus AI、年間経常収益（ARR）1億ドル
_posts/2025-12-28-mongobleed-vulnerability-explained-simply.md,MongoBleed vulnerability explained simply,MongoBleedの脆弱性を簡単に解説
_posts/2025-12-28-multiscale-aperture-synthesis-imager.md,Multiscale Aperture Synthesis Imager,マルチスケール開口合成イメージャー
_posts/2025-12-28-never-use-pixelation-to-hide-sensitive-text-2014.md,Never Use Pixelation to Hide Sensitive Text (2014),機密テキストを隠すためにピクセル化（モザイク）を決して使ってはいけない (2014)
_posts/2025-12-28-nvidia-insists-it-isnt-enron-but-its-ai-deals-are.md,"Nvidia insists it isn’t Enron, but its AI deals are testing investor faith",Nvidiaはエンロンではないと主張するが、そのAI取引は投資家の信頼を試している
_posts/2025-12-28-nvidias-20-billion-groq-deal-looks-a-lot-like-an-a.md,Nvidia's $20 billion Groq deal looks a lot like an acquisition in disguise,Nvidiaの200億ドルのGroq取引は、変装した買収のように見える
_posts/2025-12-28-on-llms-in-programming.md,On LLMs in programming,プログラミングにおけるLLMについて
_posts/2025-12-28-one-year-of-keeping-a-tada-list.md,One year of keeping a tada list,「タダ（できたこと）」リストを付け始めて1年
_posts/2025-12-28-openai-ceo-sam-altman-just-publicly-admitted-that.md,OpenAI CEO Sam Altman just publicly admitted that AI agents are becoming a,OpenAIのサム・アルトマンCEO、AIエージェントが現実になりつつあると公に認める
_posts/2025-12-28-openais-chatgpt-ads-will-allegedly-prioritize-spon.md,OpenAI's ChatGPT ads will allegedly prioritize sponsored content in answers,OpenAIのChatGPT広告は、回答内でスポンサーコンテンツを優先するとされる
_posts/2025-12-28-parsing-advances.md,Parsing Advances,パース技術の進歩
_posts/2025-12-28-presidents-administration-seeks-to-deport-hate-spe.md,President's administration seeks to deport hate speech researcher previously,大統領政権、以前から標的にしていたヘイトスピーチ研究者の国外追放を画策
_posts/2025-12-28-project-vend-phase-two.md,Project Vend: Phase Two,Project Vend：フェーズ2
_posts/2025-12-28-pysdr-a-guide-to-sdr-and-dsp-using-python.md,PySDR: A Guide to SDR and DSP Using Python,PySDR：Pythonを使用したSDRとDSPのガイド
_posts/2025-12-28-racist-ai-fakes-are-now-a-business-and-a-political.md,Racist AI fakes are now a business — and a political tool,人種差別的なAIフェイクが今やビジネスに — そして政治的ツールに
_posts/2025-12-28-rainbow-six-siege-hacked-as-hackers-have-wormed-th.md,"Rainbow Six Siege hacked, as hackers have wormed their way into the game's",レインボーシックス シージがハッキングされ、ハッカーがゲーム内に侵入
_posts/2025-12-28-rainbow-six-siege-hacked-as-players-get-billions-o.md,Rainbow Six Siege hacked as players get billions of credits and random bans,レインボーシックス シージがハッキングされ、プレイヤーが数十億クレジットを獲得し、ランダムにBANされる
_posts/2025-12-28-release-age-v130-post-quantum-and-more.md,Release age v1.3.0: post-quantum (and more),age v1.3.0リリース：耐量子計算機暗号など
_posts/2025-12-28-remembering-lou-gerstner.md,Remembering Lou Gerstner,ルー・ガースナーを偲んで
_posts/2025-12-28-replacing-javascript-with-just-html.md,Replacing JavaScript with Just HTML,JavaScriptをHTMLだけで置き換える
_posts/2025-12-28-researchers-discover-molecular-difference-in-autis.md,Researchers Discover Molecular Difference in Autistic Brains,研究者、自閉症の脳における分子レベルの違いを発見
_posts/2025-12-28-resolving-names-once-and-for-all.md,Resolving Names Once and for All,名前解決をきっぱりと解決する
_posts/2025-12-28-rex-is-a-safe-kernel-extension-framework-that-allo.md,Rex is a safe kernel extension framework that allows Rust in the place of eBPF,RexはeBPFの代わりにRustを使用できる安全なカーネル拡張フレームワークである
_posts/2025-12-28-rust-errors-without-dependencies.md,Rust Errors Without Dependencies,依存関係なしのRustエラー処理
_posts/2025-12-28-salesforce-executives-say-trust-in-large-language.md,Salesforce Executives Say Trust in Large Language Models Has Declined,Salesforce幹部、大規模言語モデルへの信頼が低下したと語る
_posts/2025-12-28-self-balancing-kafka-clusters-with-cruise-control.md,Self-balancing Kafka Clusters with Cruise Control,Cruise Controlによる自己バランス型Kafkaクラスター
_posts/2025-12-28-show-hn-pion-sctp-with-rack-is-70-faster-with-30-l.md,Show HN: Pion SCTP with RACK is 70% faster with 30% less latency,Show HN: RACKを使用したPion SCTPは70%高速化し、レイテンシが30%減少
_posts/2025-12-28-shut-up-about-the-water.md,Shut Up About the Water,水の話はやめてくれ
_posts/2025-12-28-slate-ax-wi-fi-6-gigabit-travel-router.md,Slate AX: Wi-Fi 6 Gigabit travel router,Slate AX：Wi-Fi 6 ギガビット・トラベルルーター
_posts/2025-12-28-software-engineers-should-be-a-little-bit-cynical.md,Software engineers should be a little bit cynical,ソフトウェアエンジニアは少し冷笑的であるべきだ
_posts/2025-12-28-spherical-cow.md,Spherical Cow,球形の牛（物理学のジョーク）
_posts/2025-12-28-stanford-graduates-spark-outrage-after-uncovering.md,Stanford graduates spark outrage after uncovering reason behind lack of job offers: 'A dramatic reversal from three years ago,スタンフォード大学の卒業生、内定が出ない理由を突き止め怒りを買う：「3年前からの劇的な逆転」
_posts/2025-12-28-star-citizen-is-on-course-to-reach-1-billion-in-pl.md,"Star Citizen is on course to reach $1 billion in player funding in 2026, and",スター・シチズン、2026年にプレイヤーからの資金調達額が10億ドルに達する見込み
_posts/2025-12-28-stepping-down-as-mockito-maintainer-after-10-years.md,Stepping down as Mockito maintainer after 10 years,10年務めたMockitoのメンテナを退任
_posts/2025-12-28-tc-ematch8-extended-matches-for-use-with-basic-cgr.md,"tc-ematch(8) extended matches for use with ""basic"", ""cgroup"" or ""flow"" filters",tc-ematch(8) 「basic」、「cgroup」、「flow」フィルタで使用するための拡張マッチ
_posts/2025-12-28-testing-side-effects-without-the-side-effects.md,Testing Side Effects Without the Side Effects,副作用なしで副作用をテストする
_posts/2025-12-28-text-rendering-hates-you.md,Text rendering hates you - テキストレンダリングはあなたを嫌う,テキストレンダリングはあなたを嫌う
_posts/2025-12-28-the-dangers-of-ssl-certificates.md,The dangers of SSL certificates,SSL証明書の危険性
_posts/2025-12-28-the-origins-of-apl-1974-video.md,The Origins of APL (1974) [video],APLの起源 (1974) [動画]
_posts/2025-12-28-the-tricky-parts-of-building-a-reliable-job-schedu.md,"The tricky parts of building a reliable job scheduler: leases, idempotency,",信頼性の高いジョブスケジューラを構築する際の難しい部分：リース、べき等性
_posts/2025-12-28-tiny-types-first-schema-validation-for-typescript.md,"Tiny, types-first schema validation for TypeScript",TypeScript向けの極小・型優先のスキーマバリデーション
_posts/2025-12-28-travel-agents-took-10-years-to-collapse-developers.md,"Travel agents took 10 years to collapse, developers are three years in",旅行代理店は崩壊に10年かかったが、開発者は3年目に入っている
_posts/2025-12-28-unitys-mono-problem-why-your-c-code-runs-slower-th.md,Unity''s Mono problem: Why your C# code runs slower than it should,UnityのMono問題：なぜC#コードが本来よりも遅く動作するのか
_posts/2025-12-28-we-have-to-reject-that-with-every-fiber-of-our-bei.md,‘We have to reject that with every fiber of our being’: DeSantis emerges as a chief AI skeptic,「私たちは全身全霊でそれを拒絶しなければならない」：デサンティス氏が主要なAI懐疑論者として浮上
_posts/2025-12-28-what-an-unprocessed-photo-looks-like.md,What an unprocessed photo looks like,未加工の写真がどのように見えるか
_posts/2025-12-28-what-i-learned-building-a-storage-engine-that-outp.md,What I Learned Building a Storage Engine That Outperforms RocksDB,RocksDBを凌駕するストレージエンジンを構築して学んだこと
_posts/2025-12-28-when-not-to-use-pydantic.md,When NOT to use Pydantic,Pydanticを使うべきではない時
_posts/2025-12-28-why-object-of-arrays-soa-pattern-beat-interleaved.md,Why Object of Arrays (SoA pattern) beat interleaved arrays: a JavaScript performance rabbit hole,なぜObject of Arrays (SoAパターン) がインターリーブ配列に勝るのか：JavaScriptパフォーマンスの深淵
_posts/2025-12-28-why-reliability-demands-functional-programming.md,Why Reliability Demands Functional Programming,なぜ信頼性には関数型プログラミングが必要なのか
_posts/2025-12-28-zuckerberg-settles-8-billion-lawsuit-over-cambridg.md,"Zuckerberg settles $8 billion lawsuit over Cambridge Analytica scandal, avoids",ザッカーバーグ氏、ケンブリッジ・アナリティカ事件を巡る80億ドルの訴訟で和解
_posts/2025-12-29-2d-distance-functions.md,2D Distance Functions,2D距離関数
_posts/2025-12-29-39c3-multiple-vulnerabilities-in-gnupg-and-other-c.md,39C3: Multiple vulnerabilities in GnuPG and other cryptographic tools,39C3：GnuPGおよびその他の暗号ツールにおける複数の脆弱性
_posts/2025-12-29-a-bitwise-reproducible-deep-learning-framework.md,A bitwise reproducible deep learning framework,ビット単位で再現可能なディープラーニングフレームワーク
_posts/2025-12-29-a-real-time-video-capture-to-ascii-art-converter-t.md,A real time video capture to ASCII Art converter that runs in the terminal.,ターミナルで動作するリアルタイム・ビデオキャプチャからASCIIアートへの変換器
_posts/2025-12-29-a-short-talk-at-cloudnexus-made-me-rethink-how-stu.md,A short talk at CloudNexus made me rethink how students are using AI,CloudNexusでの短い講演をきっかけに、学生のAI利用について考え直した
_posts/2025-12-29-advent-of-ai-2025-day-17-building-a-wishlist-app-w.md,Advent of AI 2025 - Day 17: Building a Wishlist App with Goose and MCP-UI,AIのアドベント 2025 - 17日目：GooseとMCP-UIでウィッシュリストアプリを構築する
_posts/2025-12-29-ai-employees-dont-pay-taxes.md,AI Employees Don't Pay Taxes,AI従業員は税金を払わない
_posts/2025-12-29-ai-is-forcing-us-to-write-good-code.md,AI is forcing us to write good code,AIが私たちに良いコードを書くことを強いている
_posts/2025-12-29-all-delisted-steam-games.md,All Delisted Steam Games,Steamから削除されたすべてのゲーム
_posts/2025-12-29-americans-hate-ai-which-party-will-benefit.md,Americans hate AI. Which party will benefit?,アメリカ人はAIを嫌っている。どちらの政党が恩恵を受けるか？
_posts/2025-12-29-an-experiment-in-vibe-coding.md,An experiment in vibe coding,「バイブス・コーディング」の実験
_posts/2025-12-29-apache-spark-isnt-fast-by-default-its-fast-when-yo.md,Apache Spark Isn’t “Fast” by Default; It’s Fast When You Use It Correctly,Apache Sparkはデフォルトで「速い」わけではない。正しく使えば速いのだ
_posts/2025-12-29-as-ai-gobbles-up-chips-prices-for-devices-may-rise.md,"As AI gobbles up chips, prices for devices may rise",AIがチップを食い尽くすにつれ、デバイスの価格が上昇する可能性がある
_posts/2025-12-29-asking-gemini-3-for-brainfck-code-puts-it-in-an-in.md,Asking Gemini 3 for Brainf*ck code puts it in an infinite loop,Gemini 3にBrainf*ckのコードを求めると無限ループに陥る
_posts/2025-12-29-attackers-caused-so-much-havoc-inside-rainbow-six.md,"Attackers Caused So Much Havoc Inside Rainbow Six Siege, Ubisoft Shut Down the Whole Game",攻撃者がレインボーシックス シージ内で大混乱を引き起こし、Ubisoftがゲーム全体をシャットダウン
_posts/2025-12-29-before-electric-vehicles-became-political-there-wa.md,"Before Electric Vehicles Became Political, There Was the Toyota Prius",電気自動車が政治的になる前、トヨタ・プリウスがあった
_posts/2025-12-29-behind-the-scenes-of-oss-vulnerability-response.md,Behind the Scenes of OSS Vulnerability Response,OSS脆弱性対応の舞台裏
_posts/2025-12-29-binaries.md,Binaries,バイナリ
_posts/2025-12-29-brendan-carr-says-destroying-consumer-protection-m.md,"Brendan Carr Says Destroying Consumer Protection, Media Consolidation Rules, And Corporate Oversight Will Be Great For Everyone",ブレンダン・カー氏、消費者保護やメディア集中ルールの撤廃、企業監視の廃止は「誰にとっても素晴らしいこと」と発言
_posts/2025-12-29-can-bundler-be-as-fast-as-uv.md,Can Bundler Be as Fast as uv?,Bundlerはuvと同じくらい速くなれるか？
_posts/2025-12-29-cars-with-retractable-door-handles-will-be-banned.md,Cars with retractable door handles will be banned in China,中国で格納式ドアハンドルを備えた車が禁止へ
_posts/2025-12-29-cia-star-gate-project-an-overview-1993-pdf.md,CIA Star Gate Project: An Overview (1993) [pdf],CIAスターゲート・プロジェクト：概要 (1993) [pdf]
_posts/2025-12-29-cloud-finops-dont-accidentally-get-out-of-control.md,Cloud FinOps Don’t “Accidentally” Get Out of Control: They’re Designed That Way,クラウドFinOpsは「偶然」制御不能になるのではない：そのように設計されているのだ
_posts/2025-12-29-communication-protocols.md,Communication Protocols,通信プロトコル
_posts/2025-12-29-consider-a-nix-flake-for-your-windows-rs-project.md,Consider a Nix Flake for your windows-rs Project,windows-rsプロジェクトにNix Flakeを検討する
_posts/2025-12-29-developing-a-beautiful-and-performant-block-editor.md,Developing a Beautiful and Performant Block Editor in Qt C++ and QML,Qt C++とQMLによる美しく高性能なブロックエディタの開発
_posts/2025-12-29-explained-what-problem-consistent-hashing-solves-a.md,Explained what problem consistent hashing solves and how it works.,コンシステントハッシュ法が解決する問題とその仕組みの解説
_posts/2025-12-29-exploited-mongobleed-flaw-leaks-mongodb-secrets-87.md,"Exploited MongoBleed flaw leaks MongoDB secrets, 87K servers exposed",悪用されたMongoBleedの欠陥によりMongoDBの機密情報が流出、8万7千台のサーバーが露出
_posts/2025-12-29-feynmans-hughes-lectures-950-pages-of-notes.md,Feynman's Hughes Lectures: 950 pages of notes,ファインマンのヒューズ講義：950ページのノート
_posts/2025-12-29-flame-graphs-vs-tree-maps-vs-sunburst-2017.md,Flame Graphs vs. Tree Maps vs. Sunburst (2017),フレームグラフ vs ツリーマップ vs サンバースト (2017)
_posts/2025-12-29-garbage-collection-in-rust-got-a-little-better.md,Garbage collection in Rust got a little better,Rustのガベージコレクションが少し改善された
_posts/2025-12-29-gen-zers-and-millennials-flock-to-so-called-analog.md,Gen Zers and millennials flock to so-called analog islands 'because so little,Z世代とミレニアル世代がいわゆる「アナログの島」に集まる理由
_posts/2025-12-29-german-hackers-call-for-digital-independence-days.md,German hackers call for ‘digital independence days’ to reduce US tech grip,ドイツのハッカー、米国の技術支配を弱めるための「デジタル独立記念日」を提唱
_posts/2025-12-29-get-started-with-me-kestraio.md,Get started with me & Kestra.io,私と一緒にKestra.ioを始めましょう
_posts/2025-12-29-gits-http-server-side-design-does-not-scale.md,Git's HTTP server side design does not scale,GitのHTTPサーバー側の設計はスケールしない
_posts/2025-12-29-gog-is-getting-acquired-by-its-original-co-founder.md,GOG is getting acquired by its original co-founder: What it means for you,GOGが元の共同創設者によって買収される：それがあなたにとって何を意味するか
_posts/2025-12-29-golfing-is-not-rowing.md,Golfing Is Not Rowing,ゴルフはボート漕ぎではない
_posts/2025-12-29-google-is-dead-where-do-we-go-now.md,Google is dead. Where do we go now?,Googleは死んだ。私たちは今どこへ向かうべきか？
_posts/2025-12-29-high-performance-c-hash-table-using-grouped-simd-m.md,High-performance C++ hash table using grouped SIMD metadata scanning,グループ化されたSIMDメタデータスキャンを使用した高性能C++ハッシュテーブル
_posts/2025-12-29-how-nx-pulled-the-rug-on-us-a-potential-solution-a.md,"How Nx \""pulled the rug\"" on us, a potential solution and lessons learned",Nxがいかにして私たちを裏切ったか、潜在的な解決策と教訓
_posts/2025-12-29-how-was-your-2025.md,How was your 2025?,あなたの2025年はどうでしたか？
_posts/2025-12-29-how-willie-nelson-sees-america.md,How Willie Nelson Sees America,ウィリー・ネルソンが見るアメリカ
_posts/2025-12-29-i-asked-ai-researchers-and-economists-about-swe-ca.md,I asked AI researchers and economists about SWE career strategies given AI,AIを前提としたSWEのキャリア戦略について、AI研究者と経済学者に聞いてみた
_posts/2025-12-29-innodb-buffer-pool-lru-implementation-how-mysql-op.md,InnoDB Buffer Pool LRU Implementation: How MySQL Optimizes Memory Management,InnoDBバッファプールのLRU実装：MySQLがいかにメモリ管理を最適化するか
_posts/2025-12-29-kidnapped-by-deutsche-bahn.md,Kidnapped by Deutsche Bahn,ドイツ鉄道に誘拐されて
_posts/2025-12-29-koine.md,Koine,コイネー
_posts/2025-12-29-kubernetes-egress-control-with-squid-proxy.md,Kubernetes egress control with squid proxy,SquidプロキシによるKubernetesのエグレス制御
_posts/2025-12-29-left-behind-futurist-fetishists-prepping-and-the-a.md,"Left Behind: Futurist Fetishists, Prepping and the Abandonment of Earth",置き去りにされて：未来派フェティシスト、プレッピング、そして地球の放棄
_posts/2025-12-29-lets-make-a-game-368-team-names.md,Let's make a game! 368: Team names,ゲームを作ろう！ 368：チーム名
